train dataset: size=15840
  sor_coord: shape=(2304, 2)
  crop_sor: shape=(3, 48, 48)
  tar_rgb: shape=(2304, 3)
  deg_diff: shape=(2304, 1)
val dataset: size=1650
  sor_coord: shape=(2304, 2)
  crop_sor: shape=(3, 48, 48)
  tar_rgb: shape=(2304, 3)
  deg_diff: shape=(2304, 1)
model: #params=1.6M
epoch 1/200, train: loss=0.1142, val: psnr=25.5552, 4.0m 4.0m/13.4h
epoch 67/200, train: loss=0.0338, val: psnr=31.6530, 4.6m 5.0h/15.1h
epoch 68/200, train: loss=0.0342, val: psnr=31.2492, 4.7m 5.1h/15.1h
epoch 69/200, train: loss=0.0338, val: psnr=30.4079, 4.8m 5.2h/15.1h
epoch 70/200, train: loss=0.0346, val: psnr=28.9316, 4.8m 5.3h/15.1h
epoch 71/200, train: loss=0.0342, val: psnr=30.8447, 4.7m 5.4h/15.1h
epoch 72/200, train: loss=0.0340, val: psnr=29.0472, 5.0m 5.4h/15.1h
epoch 73/200, train: loss=0.0339, val: psnr=30.8538, 5.4m 5.5h/15.2h
epoch 74/200, train: loss=0.0341, val: psnr=31.8595, 5.4m 5.6h/15.2h
epoch 75/200, train: loss=0.0342, val: psnr=31.1002, 5.3m 5.7h/15.2h
epoch 76/200, train: loss=0.0334, val: psnr=30.1623, 5.2m 5.8h/15.3h
epoch 77/200, train: loss=0.0336, val: psnr=30.6475, 5.4m 5.9h/15.3h
epoch 78/200, train: loss=0.0339, val: psnr=31.0632, 5.4m 6.0h/15.3h
epoch 79/200, train: loss=0.0334, val: psnr=30.4584, 5.2m 6.1h/15.4h
epoch 80/200, train: loss=0.0336, val: psnr=31.7079, 4.8m 6.1h/15.4h
epoch 81/200, train: loss=0.0331, val: psnr=30.7242, 4.9m 6.2h/15.4h
epoch 82/200, train: loss=0.0331, val: psnr=30.6008, 4.8m 6.3h/15.4h
epoch 83/200, train: loss=0.0334, val: psnr=31.1279, 4.6m 6.4h/15.4h
epoch 84/200, train: loss=0.0333, val: psnr=29.6859, 4.8m 6.5h/15.4h
epoch 85/200, train: loss=0.0334, val: psnr=29.3090, 4.8m 6.5h/15.4h
epoch 86/200, train: loss=0.0328, val: psnr=28.4359, 4.9m 6.6h/15.4h
epoch 87/200, train: loss=0.0333, val: psnr=31.4816, 4.5m 6.7h/15.4h
epoch 88/200, train: loss=0.0330, val: psnr=30.1202, 4.8m 6.8h/15.4h
epoch 89/200, train: loss=0.0331, val: psnr=31.0312, 4.8m 6.9h/15.4h
epoch 90/200, train: loss=0.0326, val: psnr=31.5660, 4.8m 6.9h/15.4h
epoch 91/200, train: loss=0.0330, val: psnr=31.5756, 4.5m 7.0h/15.4h
epoch 92/200, train: loss=0.0329, val: psnr=30.1036, 4.7m 7.1h/15.4h
epoch 93/200, train: loss=0.0324, val: psnr=31.7580, 4.8m 7.2h/15.4h
epoch 94/200, train: loss=0.0326, val: psnr=31.7751, 4.7m 7.3h/15.4h
epoch 95/200, train: loss=0.0326, val: psnr=29.8605, 4.5m 7.3h/15.4h
epoch 96/200, train: loss=0.0328, val: psnr=31.1910, 4.6m 7.4h/15.4h
epoch 97/200, train: loss=0.0328, val: psnr=30.8368, 4.8m 7.5h/15.4h
